0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:10:51 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:06 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:14 +0900] "POST /homework/1006work/validation02_process.jsp HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:28 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:28 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:35 +0900] "POST /homework/1006work/1006work1_1.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:57 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:14:57 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:15:19 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:15:19 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:15:23 +0900] "POST /homework/1006work/1006work1_1.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:15:42 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:15:42 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:17:17 +0900] "GET /homework/1006work/1006work1.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:17:26 +0900] "POST /homework/1006work/1006work1_1.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:23:31 +0900] "GET /homework/1006work/1006work2.jsp HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:23:43 +0900] "GET /homework/1006work/1006work2.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:23:44 +0900] "GET /homework/1006work/1006work2.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:23:44 +0900] "GET /homework/1006work/1006work2.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:24:19 +0900] "GET /homework/1006work/1006work2.jsp HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:24:19 +0900] "GET /homework/1006work/1006work2.jsp HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:25:16 +0900] "POST /homework/1006work/1006work2_1.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:25:43 +0900] "POST /homework/1006work/1006work2_1.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:29:19 +0900] "GET /homework/1006work/1006work3.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:29:38 +0900] "POST /homework/1006work/1006work3_1.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:49:47 +0900] "GET /homework/1006work/1006work4.jsp HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:12 +0900] "GET /bookmarket/bookmarket.jsp HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:12 +0900] "GET /resources/images/%EC%A0%95%EC%9D%98%EB%9E%80%EB%AC%B4%EC%97%87%EC%9D%B8%EA%B0%80.png HTTP/1.1" 200 52896
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:12 +0900] "GET /resources/images/%EB%8F%88%EC%9D%98%EC%8B%AC%EB%A6%AC%ED%95%99.png HTTP/1.1" 200 114560
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:12 +0900] "GET /resources/images/%ED%83%9C%EC%97%BD%EA%B0%90%EB%8A%94%EC%83%88.png HTTP/1.1" 200 24096
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:50 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:50 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:50:55 +0900] "POST /bookmarket/processAddBook.jsp HTTP/1.1" 500 3244
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:52:10 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:52:10 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:52:10 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:18:52:11 +0900] "POST /bookmarket/processAddBook.jsp HTTP/1.1" 500 3244
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:11:01 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:11:01 +0900] "GET /resources/js/bookmarket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:11:01 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:11:02 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:11:03 +0900] "POST /bookmarket/processAddBook.jsp HTTP/1.1" 500 3244
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:01 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:01 +0900] "GET /resources/css/bootstrap.min.css.map HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [06/Oct/2022:19:12:03 +0900] "GET /bookmarket/addBook.jsp HTTP/1.1" 200 4237
